latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,confidence,bright_ti5,frp,daynight,type,month,year,season,low_confidence,nearest_landuse_class,distance_to_landuse_m,worldcover_class,jharkhand_district,label_final,ti_diff,log_frp,month_sin,month_cos,hour,hour_sin,hour_cos,daynight_bin,low_confidence_int,confidence_ordinal,source_cluster_id,n_detections_at_source,unique_days_active,days_active_span,predicted_class,prediction_confidence,prob_agricultural_burning,prob_forest_fire,prob_industrial,prob_quarry_mining,prob_vegetation_fire_open_scrub
23.69139,86.39006,325.12,0.57,0.52,2022-01-01,651,n,294.15,3.97,D,2,1,2022,Winter,False,No OSM match,605.5,Tree cover,Dhanbad,Unclassified,30.970000000000027,1.603419840108537,0.4999999999999999,0.8660254037844387,6,1.0,6.123233995736766e-17,1,0,1,7032_25645,277,228,727,Quarry/Mining,0.9945734,0.00044019945,0.00033146373,0.0037192926,0.9945734,0.0009356442
23.72982,85.00587,329.82,0.35,0.57,2022-01-01,651,n,293.62,2.5,D,2,1,2022,Winter,False,No OSM match,2607.2,Bare/sparse vegetation,Chatra,Unclassified,36.19999999999999,1.252762968495368,0.4999999999999999,0.8660254037844387,6,1.0,6.123233995736766e-17,1,0,1,7044_25234,167,143,726,Industrial,0.60053533,0.0010023268,0.0011461625,0.60053533,0.31629726,0.081018925
23.78136,86.39218,333.73,0.57,0.52,2022-01-01,651,n,302.09,5.74,D,2,1,2022,Winter,False,No OSM match,1170.8,Bare/sparse vegetation,Dhanbad,Unclassified,31.640000000000043,1.908059924924216,0.4999999999999999,0.8660254037844387,6,1.0,6.123233995736766e-17,1,0,1,7059_25645,467,362,728,Industrial,0.9834049,0.00031669342,0.00027865672,0.9834049,0.014637298,0.0013625056
23.78137,86.39133,331.22,0.57,0.52,2022-01-01,651,l,301.56,5.99,D,2,1,2022,Winter,True,No OSM match,1247.6,Bare/sparse vegetation,Dhanbad,Unclassified,29.660000000000025,1.944480556245719,0.4999999999999999,0.8660254037844387,6,1.0,6.123233995736766e-17,1,1,0,7059_25645,467,362,728,Industrial,0.9895699,0.00021109392,0.0002116523,0.9895699,0.009218933,0.0007884428
23.80266,86.32737,327.24,0.58,0.52,2022-01-01,651,n,299.74,3.61,D,2,1,2022,Winter,False,No OSM match,932.1,Bare/sparse vegetation,Dhanbad,Unclassified,27.5,1.5282278570085572,0.4999999999999999,0.8660254037844387,6,1.0,6.123233995736766e-17,1,0,1,7065_25626,381,307,727,Quarry/Mining,0.9831199,0.002093063,0.0012039894,0.00391216,0.9831199,0.009670955
22.79051,86.20009,316.79,0.33,0.55,2022-01-01,1919,n,288.72,1.56,N,2,1,2022,Winter,False,No OSM match,611.2,Bare/sparse vegetation,East Singhbhum,Unclassified,28.069999999999997,0.9400072584914712,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,6765_25588,358,286,727,Industrial,0.9998272,1.8948274e-05,3.3442713e-05,0.9998272,5.326769e-05,6.7186826e-05
22.79083,86.19684,301.32,0.33,0.55,2022-01-01,1919,n,288.94,2.73,N,2,1,2022,Winter,False,No OSM match,697.5,Bare/sparse vegetation,East Singhbhum,Unclassified,12.379999999999995,1.316408233655724,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,6765_25587,218,197,726,Industrial,0.9998331,1.1160428e-05,2.9513321e-05,0.9998331,1.4830412e-05,0.00011134112
23.67341,86.40284,307.73,0.32,0.55,2022-01-01,1919,n,284.64,1.1,N,2,1,2022,Winter,False,No OSM match,1303.8,Bare/sparse vegetation,Dhanbad,Unclassified,23.090000000000032,0.7419373447293773,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7027_25648,25,25,615,Vegetation fire (open/scrub),0.62808174,0.012178302,0.16681163,0.08739326,0.10553506,0.62808174
23.67558,86.40319,337.33,0.32,0.55,2022-01-01,1919,n,287.06,3.21,N,2,1,2022,Winter,False,No OSM match,1134.3,Bare/sparse vegetation,Dhanbad,Unclassified,50.26999999999998,1.43746264769429,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7028_25649,90,80,629,Vegetation fire (open/scrub),0.80741596,0.006177418,0.07875684,0.09745453,0.01019521,0.80741596
23.67569,86.08721,301.87,0.34,0.56,2022-01-01,1919,n,286.0,1.27,N,2,1,2022,Winter,False,No OSM match,1374.4,Bare/sparse vegetation,Bokaro,Unclassified,15.870000000000005,0.8197798314933114,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7028_25555,226,202,725,Industrial,0.9993223,2.6898493e-05,0.00018136177,0.9993223,0.00024933557,0.00022017705
